cca2,name,healthGrade,pop2019,area
ES,Spain,92.75,46736.776,505992
IT,Italy,91.59,60550.075,301336
IS,Iceland,91.44,339.031,103000
JP,Japan,91.38,126860.301,377930
CH,Switzerland,90.93,8591.365,41284
SE,Sweden,90.24,10036.379,450295
AU,Australia,89.75,25203.198,7692024
SG,Singapore,89.29,5804.337,710
NO,Norway,89.09,5378.857,323802
IL,Israel,88.15,8519.377,20770
LU,Luxembourg,87.39,615.729,2586
FR,France,86.94,65129.728,551695
AT,Austria,86.3,8955.102,83871
FI,Finland,85.89,5532.156,338424
NL,Netherlands,85.86,17097.13,41850
CA,Canada,85.7,37411.047,9984670
KR,South Korea,85.41,51225.308,100210
NZ,New Zealand,85.06,4783.063,270467
GB,United Kingdom,84.28,67530.172,242900
IE,Ireland,84.06,4882.495,70273
CY,Cyprus,83.58,1198.575,9251
PT,Portugal,83.1,10226.187,92090
DE,Germany,83.06,83517.045,357114
SI,Slovenia,82.72,2078.654,20273
DK,Denmark,82.69,5771.876,43094
GR,Greece,82.29,10473.455,131990
MT,Malta,81.7,440.372,316
BE,Belgium,80.46,11539.328,30528
CZ,Czech Republic,77.59,10689.209,78865
CU,Cuba,74.66,11333.483,109884
HR,Croatia,73.36,4130.304,56594
EE,Estonia,73.32,1325.648,45227
CR,Costa Rica,73.21,5047.561,51100
CL,Chile,73.21,18952.038,756102
US,United States,73.02,329064.917,9372610
BH,Bahrain,72.31,1641.172,765
QA,Qatar,71.97,2832.067,11586
MV,Maldives,70.95,530.953,300
LB,Lebanon,70.53,6855.713,10452
PL,Poland,70.25,37887.768,312679
ME,Montenegro,69.69,627.987,13812
BA,Bosnia and Herzegovina,69.66,3301,51209
AL,Albania,68.04,2880.917,28748
BN,Brunei,67.96,433.285,5765
SK,Slovakia,67.28,5457.013,49037
AE,United Arab Emirates,67.14,9770.529,83600
UY,Uruguay,65.66,3461.734,181034
HU,Hungary,64.43,9684.679,93028
OM,Oman,64.07,4974.986,309500
PA,Panama,64.01,4246.439,75417
TR,Turkey,62.81,83429.615,783562
CN,China,62.52,1433783.686,9706961
MX,Mexico,62.09,127575.529,1964375
AR,Argentina,61.19,44780.677,2780400
RS,Serbia,60.99,8772.235,88361
MK,Macedonia,60.21,2083.459,25713