id,name,population,pop2019,area,2CODE
ESP,Spain,92.75,46736.776,505992,ES
ITA,Italy,91.59,60550.075,301336,IT
ISL,Iceland,91.44,339.031,103000,IS
JPN,Japan,91.38,126860.301,377930,JP
CHE,Switzerland,90.93,8591.365,41284,CH
SWE,Sweden,90.24,10036.379,450295,SE
AUS,Australia,89.75,25203.198,7692024,AU
SGP,Singapore,89.29,5804.337,710,SG
NOR,Norway,89.09,5378.857,323802,NO
ISR,Israel,88.15,8519.377,20770,IL
LUX,Luxembourg,87.39,615.729,2586,LU
FRA,France,86.94,65129.728,551695,FR
AUT,Austria,86.3,8955.102,83871,AT
FIN,Finland,85.89,5532.156,338424,FI
NLD,Netherlands,85.86,17097.13,41850,NL
CAN,Canada,85.7,37411.047,9984670,CA
KOR,South Korea,85.41,51225.308,100210,KR
NZL,New Zealand,85.06,4783.063,270467,NZ
GBR,United Kingdom,84.28,67530.172,242900,GB
IRL,Ireland,84.06,4882.495,70273,IE
CYP,Cyprus,83.58,1198.575,9251,CY
PRT,Portugal,83.1,10226.187,92090,PT
DEU,Germany,83.06,83517.045,357114,DE
SVN,Slovenia,82.72,2078.654,20273,SI
DNK,Denmark,82.69,5771.876,43094,DK
GRC,Greece,82.29,10473.455,131990,GR
MLT,Malta,81.7,440.372,316,MT
BEL,Belgium,80.46,11539.328,30528,BE
CZE,Czech Republic,77.59,10689.209,78865,CZ
CUB,Cuba,74.66,11333.483,109884,CU
HRV,Croatia,73.36,4130.304,56594,HR
EST,Estonia,73.32,1325.648,45227,EE
CRI,Costa Rica,73.21,5047.561,51100,CR
CHL,Chile,73.21,18952.038,756102,CL
USA,United States,73.02,329064.917,9372610,US
BAH,Bahrain,72.31,1641.172,765,BH
QAT,Qatar,71.97,2832.067,11586,QA
MDV,Maldives,70.95,530.953,300,MV
LBN,Lebanon,70.53,6855.713,10452,LB
POL,Poland,70.25,37887.768,312679,PL
MNE,Montenegro,69.69,627.987,13812,ME
BIH,Bosnia and Herzegovina,69.66,3301,51209,BA
ALB,Albania,68.04,2880.917,28748,AL
BWN,Brunei,67.96,433.285,5765,BN
SVK,Slovakia,67.28,5457.013,49037,SK
UAE,United Arab Emirates,67.14,9770.529,83600,AE
URY,Uruguay,65.66,3461.734,181034,UY
HUN,Hungary,64.43,9684.679,93028,HU
OMN,Oman,64.07,4974.986,309500,OM
PAN,Panama,64.01,4246.439,75417,PA
TUR,Turkey,62.81,83429.615,783562,TR
CHN,China,62.52,1433783.686,9706961,CN
MEX,Mexico,62.09,127575.529,1964375,MX
ARG,Argentina,61.19,44780.677,2780400,AR
SRB,Serbia,60.99,8772.235,88361,RS
MKD,Macedonia,60.21,2083.459,25713,MK